NAME,PRICE RANGE,NEIGHBORHOOD,ADDRESS,NOTES
Peachy's ,$$$,Chinatown,5 Doyers Street,"Asian food menu, cocktails - cool vibe"
The Django,,Tribeca,2 6th Avenue,Jazz club with full dinner & drinks
Holywater,,Tribeca,112 Reade street,new orleans themed speakeasy with full food menu
Butterfly Soho,,Soho,60 Thompson,"Hotel bar with butterflies, raw bar and food menu"
Dear Irving,$$$,Gramercy,55 Irving Place,"Mostly drinks, small bites"
11 Tigers,,East Village,225 Avenue B,Cool speakeasy with restaurant
Saint Downstairs ,,East Village,136 2nd avenue ,"Speakeasy/going out downstairs level, restaurant upstairs"
Death & Company,,East Village,433 East 6th Street,"Bartenders in bow ties, light bites, dessert"
Please Don't Tell ,,East Village,113 saint marks place,"Cocktails, full food menu"
Double Chicken Please ,,Lower East Side,115 Allen street,"walk ins for front room, cocktails, chicken sandwiches, back room takes res"
Ye's Apothecary,,Lower East Side,119 Orchard Street,Restaurant & speakeasy
Garfunkel's,$$$,Lower East Side,67 Clinton St 2nd floor,"Cocktails, afternoon tea: Wed-Sun 12pm-5pm: savories, sweets, scones: $35pp"
Temple Bar,,Nolita,332 Lafayette Street,"Cocktails, snacks and heavier food options"
Gongo,,Noho,15 St Marks,"Full food menu, cocktails in speakeasy - new"
Up & Up ,,Greenwich Village,116 Macdougal street,Cocktails & snack bites
Mace,,Greenwich Village,35 W 8th Street,"Rated one of best bars in world, full food / dinner menu"
The Nines,$$$,Greenwich Village,9 Great Jones Street,"Fancy, red vibes - dinner menu - takes reservations"
Singlish,,Greenwich Village,17 East 13th Street,Singaporean style food/drinks - New!
Pine & Polk,,Hudson Square,300 Spring st,"Behind grocery store, snacks, full dinner, desserts"
Employees Only,$$,West Village,510 Hudson Street,"Fancy, dinner, cocktails, wine - takes reservations"
Katana Kitten,,West Village,531 Hudson Street,"Japanese bites, dinner, cocktails"
Bosco ,,West Village,169 Bleecker,Latin american cocktails and street bites
& Sons,,West Village,62 W 9th Street,Steakeasy - $57 4 course steak dinner
Thyme Bar,,Flatiron,20 W 23rd Street,"Fancy drinks & presentation, tasting menu $95, or other full food options"
Apotheke,,Nomad,9 W 26th Street,"candlit atmosphere, 2 locations, food"
Nubeluz,,Nomad,25 W 28th,"Amazing view, smaller bites to snack on"
Bathtub Gin,,Chelsea,132 9th Avenue,"Burlesque tuesday 8pm, Jazz Music wednesday 8pm, full food menu"
Coby Club,,Chelsea,156 7th Avenue,"Jazz music, light bites"
La Noxe ,,Chelsea,315 7th Avenue,"In subway station, tapas menu, desserts"
Patent Pending,,Chelsea,49 West 27th street,"Swanky cocktail bar, light bites"
Jungle Bird,,Chelsea,174 8th Avenue,"tropical vibes, food menu, happy hour"
The Woo Woo,,Midtown,266 West 47th,"80s themed, big food menu "
Bo Peep,,Midtown,70 W 36th street ,"Red velvet couches, full menu with bites, pizza"
Madame George,,Midtown,45 W 45th,"Cocktail lounge, ny themed drinks, bites but $$$"
Casa Cruz,,Upper East Side ,36 East 61st Street,"Speakeasy in townhouse, breakfast, lunch, dinner"
